Date,Open,High,Low,Close,Adj Close,Volume
2009-04-12,null,null,null,null,null,null
2009-04-13,52.000000,52.150002,48.840000,50.049999,50.049999,294835
2009-04-14,49.959999,51.119999,48.849998,49.410000,49.410000,290456
2009-04-15,49.160000,50.790001,48.910000,49.250000,49.250000,284710
2009-04-16,49.700001,50.480000,49.110001,49.980000,49.980000,228056
2009-04-17,49.930000,51.369999,49.410000,50.330002,50.330002,196957
2009-04-19,null,null,null,null,null,null
2009-04-20,50.160000,50.310001,45.439999,45.880001,45.880001,137021
2009-04-21,45.259998,47.200001,43.830002,46.509998,46.509998,89895
2009-04-22,48.680000,49.090000,47.700001,48.849998,48.849998,287925
2009-04-23,48.490002,49.919998,48.369999,49.619999,49.619999,238729
2009-04-24,49.650002,51.750000,49.060001,51.549999,51.549999,227296
2009-04-26,null,null,null,null,null,null
2009-04-27,51.450001,51.450001,48.009998,50.139999,50.139999,230865
2009-04-28,50.099998,50.189999,48.549999,49.919998,49.919998,265293
2009-04-29,49.250000,51.419998,49.119999,50.970001,50.970001,186823
2009-04-30,50.790001,51.939999,50.209999,51.119999,51.119999,234826
2009-05-01,50.950001,53.650002,50.430000,53.200001,53.200001,208296
2009-05-03,null,null,null,null,null,null
2009-05-04,52.619999,54.639999,52.560001,54.470001,54.470001,248750
2009-05-05,54.459999,54.830002,53.500000,53.840000,53.840000,229782
2009-05-06,54.119999,56.470001,53.570000,56.340000,56.340000,234306
2009-05-07,56.299999,58.570000,55.459999,56.709999,56.709999,334302
2009-05-08,56.500000,58.750000,56.150002,58.630001,58.630001,377826
2009-05-10,null,null,null,null,null,null
2009-05-11,58.490002,58.630001,56.779999,58.500000,58.500000,291819
2009-05-12,58.099998,60.080002,57.810001,58.849998,58.849998,290030
2009-05-13,59.290001,59.900002,57.410000,58.020000,58.020000,305957
2009-05-14,57.730000,59.000000,56.549999,58.619999,58.619999,311802
2009-05-15,58.540001,58.880001,56.070000,56.340000,56.340000,260456
2009-05-17,null,null,null,null,null,null
2009-05-18,56.470001,59.330002,56.119999,59.029999,59.029999,216089
2009-05-19,59.160000,60.480000,58.549999,59.650002,59.650002,134714
2009-05-20,60.180000,62.259998,59.860001,62.040001,62.040001,252709
2009-05-21,61.680000,61.869999,59.919998,61.049999,61.049999,270022
2009-05-22,61.049999,61.980000,60.500000,61.669998,61.669998,237412
2009-05-24,null,null,null,null,null,null
2009-05-26,61.500000,62.540001,59.529999,62.450001,62.450001,186302
2009-05-27,62.869999,63.820000,62.189999,63.450001,63.450001,267127
2009-05-28,62.910000,65.440002,62.750000,65.080002,65.080002,261888
2009-05-29,64.769997,66.639999,64.680000,66.309998,66.309998,281439
2009-05-31,null,null,null,null,null,null
2009-06-01,66.480003,68.680000,66.230003,68.580002,68.580002,261370
2009-06-02,68.040001,69.050003,67.500000,68.550003,68.550003,234080
2009-06-03,68.250000,68.949997,64.949997,66.120003,66.120003,266861
2009-06-04,66.089996,69.599998,65.919998,68.809998,68.809998,322365
2009-06-05,68.730003,70.320000,67.540001,68.440002,68.440002,304674
2009-06-07,null,null,null,null,null,null
2009-06-08,68.320000,68.949997,66.779999,68.089996,68.089996,329259
2009-06-09,68.690002,70.690002,68.430000,70.010002,70.010002,289278
2009-06-10,70.510002,71.790001,70.430000,71.330002,71.330002,316884
2009-06-11,71.459999,73.230003,71.320000,72.680000,72.680000,346248
2009-06-12,72.430000,72.629997,70.800003,72.040001,72.040001,314790
2009-06-14,null,null,null,null,null,null
2009-06-15,72.199997,72.349998,69.580002,70.620003,70.620003,224601
2009-06-16,70.309998,72.769997,69.800003,70.470001,70.470001,242211
2009-06-17,70.260002,71.279999,69.000000,71.029999,71.029999,266350
2009-06-18,70.820000,71.750000,70.220001,71.370003,71.370003,265584
2009-06-19,71.349998,72.300003,68.900002,69.550003,69.550003,178851
2009-06-21,null,null,null,null,null,null
2009-06-22,69.889999,69.889999,66.250000,66.930000,66.930000,115712
2009-06-23,67.150002,69.680000,66.370003,69.239998,69.239998,278468
2009-06-24,68.550003,69.860001,68.059998,68.669998,68.669998,279901
2009-06-25,68.290001,70.930000,68.110001,70.230003,70.230003,242855
2009-06-26,70.339996,71.290001,68.809998,69.160004,69.160004,254942
2009-06-28,null,null,null,null,null,null
2009-06-29,69.250000,71.919998,68.360001,71.489998,71.489998,208025
2009-06-30,71.599998,73.379997,68.900002,69.889999,69.889999,229882
2009-07-01,70.449997,71.849998,68.519997,69.309998,69.309998,331550
2009-07-02,69.220001,69.739998,66.260002,66.730003,66.730003,304636
2009-07-05,null,null,null,null,null,null
2009-07-06,65.540001,65.650002,63.400002,64.050003,64.050003,243250
2009-07-07,64.190002,64.910004,62.209999,62.930000,62.930000,256986
2009-07-08,61.750000,62.680000,60.009998,60.139999,60.139999,262358
2009-07-09,60.380001,61.619999,59.250000,60.410000,60.410000,334958
2009-07-10,60.450001,60.889999,58.720001,59.889999,59.889999,314800
2009-07-12,null,null,null,null,null,null
2009-07-13,59.860001,60.669998,58.320000,59.689999,59.689999,264745
2009-07-14,60.139999,61.459999,59.150002,59.520000,59.520000,301907
2009-07-15,59.790001,62.000000,59.650002,61.540001,61.540001,305947
2009-07-16,62.000000,62.250000,60.290001,62.020000,62.020000,279729
2009-07-17,62.240002,63.990002,61.040001,63.560001,63.560001,250043
2009-07-19,null,null,null,null,null,null
2009-07-20,63.380001,64.900002,63.189999,63.980000,63.980000,186315
2009-07-21,64.199997,65.529999,63.509998,64.720001,64.720001,125148
2009-07-22,65.029999,65.769997,63.759998,65.400002,65.400002,279584
2009-07-23,65.400002,67.489998,64.400002,67.160004,67.160004,319989
2009-07-24,66.620003,68.199997,66.459999,68.050003,68.050003,321627
2009-07-26,null,null,null,null,null,null
2009-07-27,68.050003,68.989998,67.599998,68.379997,68.379997,217270
2009-07-28,68.260002,68.860001,66.480003,67.230003,67.230003,245180
2009-07-29,66.680000,67.010002,62.700001,63.349998,63.349998,253558
2009-07-30,62.860001,67.290001,62.759998,66.940002,66.940002,342411
2009-07-31,66.690002,69.739998,64.959999,69.449997,69.449997,344216
2009-08-02,null,null,null,null,null,null
2009-08-03,69.300003,72.199997,69.089996,71.580002,71.580002,400836
2009-08-04,71.339996,71.949997,70.160004,71.419998,71.419998,323455
2009-08-05,71.820000,72.099998,69.709999,71.970001,71.970001,285877
2009-08-06,71.830002,72.419998,70.180000,71.940002,71.940002,307551
2009-08-07,71.809998,72.839996,70.379997,70.930000,70.930000,328670
2009-08-09,null,null,null,null,null,null
2009-08-10,70.669998,71.570000,70.089996,70.599998,70.599998,367023
2009-08-11,70.760002,71.250000,68.709999,69.449997,69.449997,304092
2009-08-12,69.669998,71.129997,68.839996,70.160004,70.160004,389079
2009-08-13,70.540001,72.209999,70.050003,70.519997,70.519997,342269
2009-08-14,70.900002,71.599998,67.120003,67.510002,67.510002,322969
2009-08-16,null,null,null,null,null,null
2009-08-17,67.690002,67.690002,65.230003,66.750000,66.750000,320144
2009-08-18,66.800003,70.290001,66.110001,69.190002,69.190002,264790
2009-08-19,70.250000,72.800003,68.050003,72.419998,72.419998,182990
2009-08-20,72.150002,72.879997,71.650002,72.540001,72.540001,126682
2009-08-21,72.879997,74.720001,72.029999,73.889999,73.889999,241477
2009-08-23,null,null,null,null,null,null
2009-08-24,73.750000,74.809998,73.570000,74.370003,74.370003,246228
2009-08-25,73.970001,75.000000,71.110001,72.050003,72.050003,208702
2009-08-26,71.349998,72.639999,70.669998,71.430000,71.430000,324399
2009-08-27,71.360001,72.949997,69.830002,72.489998,72.489998,255501
2009-08-28,72.860001,73.519997,71.779999,72.739998,72.739998,272730
2009-08-30,null,null,null,null,null,null
2009-08-31,72.750000,73.360001,69.129997,69.959999,69.959999,239217
2009-09-01,69.559998,71.370003,68.000000,68.050003,68.050003,276967
2009-09-02,68.199997,68.800003,67.050003,68.050003,68.050003,336835
2009-09-03,68.150002,69.400002,67.660004,67.959999,67.959999,269497
2009-09-04,68.190002,68.779999,67.120003,68.019997,68.019997,231967
2009-09-06,null,null,null,null,null,null
2009-09-08,68.110001,71.790001,67.540001,71.099998,71.099998,229782
2009-09-09,71.330002,72.519997,70.660004,71.309998,71.309998,374237
2009-09-10,71.639999,72.440002,70.860001,71.940002,71.940002,331984
2009-09-11,72.050003,72.900002,68.820000,69.290001,69.290001,345551
2009-09-13,null,null,null,null,null,null
2009-09-14,69.150002,69.510002,68.019997,68.860001,68.860001,374693
2009-09-15,68.779999,71.190002,68.480003,70.930000,70.930000,255720
2009-09-16,70.400002,72.559998,70.139999,72.510002,72.510002,288040
2009-09-17,72.309998,73.160004,71.660004,72.470001,72.470001,291946
2009-09-18,72.400002,72.660004,71.269997,72.040001,72.040001,235707
2009-09-20,null,null,null,null,null,null
2009-09-21,71.779999,72.199997,68.959999,69.709999,69.709999,165696
2009-09-22,69.669998,71.849998,69.610001,71.550003,71.550003,142853
2009-09-23,71.629997,71.809998,68.040001,68.970001,68.970001,218292
2009-09-24,68.330002,68.769997,65.599998,65.889999,65.889999,307578
2009-09-25,65.919998,67.089996,65.050003,66.019997,66.019997,357456
2009-09-27,null,null,null,null,null,null
2009-09-28,66.150002,67.540001,65.410004,66.839996,66.839996,315319
2009-09-29,67.110001,67.330002,65.820000,66.709999,66.709999,231410
2009-09-30,66.709999,70.720001,66.220001,70.610001,70.610001,247345
2009-10-01,70.400002,71.389999,69.129997,70.820000,70.820000,386690
2009-10-02,70.349998,70.690002,68.320000,69.949997,69.949997,334690
2009-10-04,null,null,null,null,null,null
2009-10-05,69.809998,71.000000,68.050003,70.410004,70.410004,312014
2009-10-06,70.260002,71.970001,70.059998,70.879997,70.879997,346922
2009-10-07,71.160004,71.760002,68.879997,69.570000,69.570000,372435
2009-10-08,69.800003,72.550003,69.169998,71.690002,71.690002,372435
2009-10-09,71.419998,72.349998,70.620003,71.769997,71.769997,405214
2009-10-11,null,null,null,null,null,null
2009-10-12,72.239998,73.839996,72.050003,73.269997,73.269997,322276
2009-10-13,73.169998,74.550003,72.830002,74.150002,74.150002,260226
2009-10-14,74.400002,75.529999,74.400002,75.180000,75.180000,361151
2009-10-15,75.339996,77.970001,74.790001,77.580002,77.580002,296006
2009-10-16,77.760002,78.750000,76.820000,78.529999,78.529999,355573
2009-10-18,null,null,null,null,null,null
2009-10-19,78.559998,79.690002,78.050003,79.610001,79.610001,238421
2009-10-20,79.610001,80.050003,78.050003,79.089996,79.089996,131534
2009-10-21,78.690002,82.000000,77.639999,81.370003,81.370003,320697
2009-10-22,81.040001,81.500000,79.860001,81.190002,81.190002,395742
2009-10-23,81.260002,81.779999,79.550003,80.500000,80.500000,295407
2009-10-25,null,null,null,null,null,null
2009-10-26,79.650002,81.580002,77.970001,78.680000,78.680000,293751
2009-10-27,78.680000,79.889999,77.809998,79.550003,79.550003,363907
2009-10-28,79.470001,79.830002,77.059998,77.459999,77.459999,375672
2009-10-29,77.110001,80.459999,77.029999,79.870003,79.870003,359438
2009-10-30,79.980003,80.209999,76.849998,77.000000,77.000000,360575
2009-11-01,null,null,null,null,null,null
2009-11-02,77.019997,78.660004,76.559998,78.129997,78.129997,412394
2009-11-03,78.089996,79.769997,76.550003,79.599998,79.599998,371006
2009-11-04,79.470001,81.059998,79.120003,80.400002,80.400002,373992
2009-11-05,80.290001,80.519997,79.339996,79.620003,79.620003,366103
2009-11-06,79.800003,80.339996,76.709999,77.430000,77.430000,257603
2009-11-08,null,null,null,null,null,null
2009-11-09,77.870003,80.190002,77.769997,79.430000,79.430000,395797
2009-11-10,79.239998,80.510002,77.889999,79.050003,79.050003,327402
2009-11-11,78.879997,80.099998,78.570000,79.279999,79.279999,371088
2009-11-12,79.250000,79.690002,76.519997,76.940002,76.940002,297815
2009-11-13,76.779999,77.669998,75.570000,76.349998,76.349998,412833
2009-11-15,null,null,null,null,null,null
2009-11-16,76.580002,79.430000,76.349998,78.900002,78.900002,335366
2009-11-17,78.930000,79.730003,78.139999,79.139999,79.139999,361387
2009-11-18,79.379997,80.330002,78.669998,79.580002,79.580002,319240
2009-11-19,79.629997,79.870003,77.059998,77.459999,77.459999,253658
2009-11-20,77.589996,77.989998,76.199997,76.720001,76.720001,175227
2009-11-22,null,null,null,null,null,null
2009-11-23,77.800003,79.919998,77.150002,77.559998,77.559998,263044
2009-11-24,77.449997,77.800003,75.599998,76.019997,76.019997,382888
2009-11-25,75.830002,78.089996,75.500000,77.959999,77.959999,413033
2009-11-27,null,null,null,null,null,null
2009-11-29,null,null,null,null,null,null
2009-11-30,76.050003,78.000000,75.129997,77.279999,77.279999,301347
2009-12-01,77.349998,79.040001,77.010002,78.370003,78.370003,358538
2009-12-02,77.900002,78.589996,76.220001,76.599998,76.599998,310483
2009-12-03,76.510002,77.500000,75.540001,76.459999,76.459999,340897
2009-12-04,75.830002,77.900002,74.849998,75.470001,75.470001,351788
2009-12-06,null,null,null,null,null,null
2009-12-07,75.800003,76.099998,73.699997,73.930000,73.930000,411579
2009-12-08,74.000000,74.389999,72.510002,72.620003,72.620003,359248
2009-12-09,73.120003,73.870003,70.129997,70.669998,70.669998,424771
2009-12-10,70.800003,71.389999,69.809998,70.540001,70.540001,526968
2009-12-11,70.570000,71.199997,69.459999,69.870003,69.870003,407657
2009-12-13,null,null,null,null,null,null
2009-12-14,69.629997,70.220001,68.589996,69.510002,69.510002,343411
2009-12-15,69.570000,71.150002,69.309998,70.690002,70.690002,268931
2009-12-16,70.779999,73.550003,70.589996,72.660004,72.660004,262945
2009-12-17,72.739998,73.129997,71.209999,72.650002,72.650002,298377
2009-12-18,72.599998,74.690002,72.550003,73.360001,73.360001,173958
2009-12-20,null,null,null,null,null,null
2009-12-21,73.050003,74.320000,71.989998,72.470001,72.470001,122741
2009-12-22,73.430000,74.910004,72.720001,74.400002,74.400002,189118
2009-12-23,74.519997,77.000000,74.250000,76.669998,76.669998,196830
2009-12-24,null,null,null,null,null,null
2009-12-27,null,null,null,null,null,null
2009-12-28,77.919998,79.120003,77.760002,78.769997,78.769997,102484
2009-12-29,78.660004,79.389999,78.019997,78.870003,78.870003,108895
2009-12-30,78.800003,79.800003,78.459999,79.279999,79.279999,137090
2009-12-31,79.279999,80.000000,79.160004,79.360001,79.360001,156075
2010-01-03,null,null,null,null,null,null
2010-01-04,79.629997,81.680000,79.629997,81.510002,81.510002,120372
2010-01-05,81.629997,82.000000,80.949997,81.769997,81.769997,263542
2010-01-06,81.430000,83.519997,80.849998,83.180000,83.180000,258887
2010-01-07,83.199997,83.360001,82.260002,82.660004,82.660004,370059
2010-01-08,82.650002,83.470001,81.800003,82.750000,82.750000,246632
2010-01-10,null,null,null,null,null,null
2010-01-11,82.879997,83.949997,81.959999,82.519997,82.519997,310377
2010-01-12,82.070000,82.339996,79.910004,80.790001,80.790001,296304
2010-01-13,80.059998,80.669998,78.370003,79.650002,79.650002,333866
2010-01-14,79.629997,80.360001,78.919998,79.389999,79.389999,401627
2010-01-15,79.199997,79.309998,77.699997,78.000000,78.000000,275404
2010-01-17,null,null,null,null,null,null
2010-01-19,77.849998,79.150002,76.760002,79.019997,79.019997,200555
2010-01-20,78.879997,79.029999,76.959999,77.620003,77.620003,186882
2010-01-21,77.559998,78.360001,75.660004,76.080002,76.080002,303758
2010-01-22,75.839996,76.500000,74.010002,74.540001,74.540001,327417
2010-01-24,null,null,null,null,null,null
2010-01-25,74.239998,75.419998,74.059998,75.260002,75.260002,348819
2010-01-26,75.279999,75.389999,73.820000,74.709999,74.709999,280559
2010-01-27,74.690002,75.089996,72.650002,73.669998,73.669998,256207
2010-01-28,73.750000,74.489998,72.930000,73.639999,73.639999,356179
2010-01-29,73.889999,74.820000,72.430000,72.889999,72.889999,292911
2010-01-31,null,null,null,null,null,null
2010-02-01,72.839996,74.989998,72.489998,74.430000,74.430000,335270
2010-02-02,74.940002,77.410004,74.400002,77.230003,77.230003,277411
2010-02-03,76.989998,78.040001,76.519997,76.980003,76.980003,366269
2010-02-04,77.089996,77.169998,72.419998,73.139999,73.139999,391294
2010-02-05,73.040001,73.940002,69.500000,71.190002,71.190002,523892
2010-02-07,null,null,null,null,null,null
2010-02-08,72.180000,72.389999,70.769997,71.889999,71.889999,596142
2010-02-09,71.680000,74.150002,71.320000,73.750000,73.750000,345638
2010-02-10,73.790001,74.970001,72.599998,74.519997,74.519997,429845
2010-02-11,74.650002,75.690002,73.379997,75.279999,75.279999,422057
2010-02-12,75.300003,75.349998,72.660004,74.129997,74.129997,464441
2010-02-14,null,null,null,null,null,null
2010-02-16,74.019997,77.419998,73.709999,77.010002,77.010002,335805
2010-02-17,77.320000,77.820000,76.529999,77.330002,77.330002,365032
2010-02-18,77.290001,79.290001,76.320000,79.059998,79.059998,283816
2010-02-19,78.370003,80.099998,77.760002,79.809998,79.809998,274169
2010-02-21,null,null,null,null,null,null
2010-02-22,80.099998,80.510002,79.449997,80.160004,80.160004,183234
2010-02-23,80.029999,80.389999,78.220001,78.860001,78.860001,238956
2010-02-24,79.129997,80.449997,78.250000,80.000000,80.000000,316878
2010-02-25,80.309998,80.320000,77.050003,78.169998,78.169998,289321
2010-02-26,78.330002,80.050003,77.820000,79.660004,79.660004,346025
2010-02-28,null,null,null,null,null,null
2010-03-01,79.839996,80.620003,78.059998,78.699997,78.699997,319038
2010-03-02,78.879997,80.949997,78.260002,79.680000,79.680000,298718
2010-03-03,79.639999,81.230003,79.440002,80.870003,80.870003,301698
2010-03-04,81.010002,81.089996,79.699997,80.209999,80.209999,306910
2010-03-05,80.580002,82.070000,80.470001,81.500000,81.500000,278889
2010-03-07,null,null,null,null,null,null
2010-03-08,81.790001,82.410004,80.750000,81.870003,81.870003,299634
2010-03-09,81.750000,81.910004,80.160004,81.489998,81.489998,295351
2010-03-10,81.379997,83.029999,80.809998,82.089996,82.089996,332133
2010-03-11,81.980003,82.379997,81.330002,82.110001,82.110001,430148
2010-03-12,82.199997,83.160004,80.570000,81.239998,81.239998,279161
2010-03-14,null,null,null,null,null,null
2010-03-15,81.129997,81.309998,79.129997,79.800003,79.800003,337201
2010-03-16,79.839996,82.040001,79.320000,81.699997,81.699997,283135
2010-03-17,82.050003,83.089996,81.720001,82.930000,82.930000,290180
2010-03-18,82.849998,82.849998,81.680000,82.199997,82.199997,275205
2010-03-19,82.169998,82.169998,79.860001,80.680000,80.680000,208343
2010-03-21,null,null,null,null,null,null
